epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2004,0.99272,0.59566,1.34266,0.61922,0.83333,0.72083,0.35679,1.67768,1.41982,2.41319,0.0708824,0.00323529,0.00323529
2,64.4646,0.99462,0.59529,1.37423,0.82646,0.79896,0.83894,0.32864,1.96762,1.31714,2.80341,0.0406222,0.00630851,0.00630851
3,80.6419,1.08462,0.64951,1.409,0.62358,0.83333,0.71321,0.33911,1.99617,1.42477,2.46051,0.0100981,0.00911773,0.00911773
4,91.7817,1.11428,0.67219,1.42043,0.49828,0.66667,0.63005,0.28299,2.15664,1.32514,2.75029,0.008812,0.008812,0.008812
5,102.39,1.1144,0.67485,1.46495,0.68568,0.83333,0.79119,0.36855,1.87532,1.13624,2.37639,0.008416,0.008416,0.008416
6,112.603,1.11987,0.68847,1.41597,1,0.82879,0.86243,0.33545,2.06786,1.27757,2.94184,0.00802,0.00802,0.00802
7,123.163,1.16547,0.70865,1.43722,0.95274,0.83333,0.84977,0.32951,2.0883,1.45375,2.94777,0.007624,0.007624,0.007624
8,134.188,1.09753,0.66196,1.41682,0.71196,0.83333,0.8112,0.41071,1.89495,1.2398,2.57804,0.007228,0.007228,0.007228
9,144.539,1.09447,0.66209,1.44822,0.58138,0.83333,0.67643,0.33191,1.80329,1.23937,2.47553,0.006832,0.006832,0.006832
10,152.747,1.04928,0.63869,1.38909,0.65469,0.66667,0.672,0.27642,2.04889,1.51458,3.00325,0.006436,0.006436,0.006436
11,160.73,0.99289,0.59549,1.34071,0.75968,0.66667,0.65224,0.22161,2.4247,1.50946,3.66845,0.00604,0.00604,0.00604
12,171.344,1.01522,0.61856,1.35927,0.61655,0.80703,0.61545,0.304,1.80288,1.32246,2.5991,0.005644,0.005644,0.005644
13,179.528,1.00951,0.61359,1.31624,1,0.63796,0.80647,0.32671,1.76376,1.41986,2.45197,0.005248,0.005248,0.005248
14,188.833,0.98432,0.59518,1.32401,0.77757,0.66667,0.76202,0.3151,2.01539,1.4434,3.03737,0.004852,0.004852,0.004852
15,198.833,0.9044,0.55227,1.26419,0.61593,0.83333,0.70489,0.36356,1.87609,1.2442,2.84627,0.004456,0.004456,0.004456
16,211.892,0.91861,0.56179,1.24141,0.73011,0.5,0.66067,0.3132,1.84059,1.32274,2.43067,0.00406,0.00406,0.00406
17,220.085,0.87945,0.5239,1.2298,0.69886,0.83333,0.80043,0.3546,1.94684,1.05852,3.18511,0.003664,0.003664,0.003664
18,228.369,0.86902,0.51218,1.21749,0.5482,0.83333,0.62967,0.29198,1.88552,1.57427,3.07943,0.003268,0.003268,0.003268
19,238.26,0.81716,0.48833,1.16598,0.60061,0.83333,0.70125,0.36956,1.80249,1.5033,2.77737,0.002872,0.002872,0.002872
20,249.069,0.81939,0.48886,1.18574,0.71398,0.83228,0.77095,0.43747,1.65238,1.1227,2.60982,0.002476,0.002476,0.002476
21,260.557,0.80872,0.48092,1.14683,0.70656,0.83333,0.80576,0.43201,1.71432,1.13089,2.54861,0.00208,0.00208,0.00208
22,269.619,0.72399,0.43928,1.15107,0.6916,0.83333,0.74586,0.35888,1.6257,1.26822,2.48735,0.001684,0.001684,0.001684
23,278.711,0.75081,0.44127,1.11082,0.71015,0.83333,0.74149,0.36882,1.77438,1.5308,2.79477,0.001288,0.001288,0.001288
24,287.706,0.73502,0.43838,1.09328,0.69572,0.83333,0.79606,0.41746,1.75904,1.29932,2.81103,0.000892,0.000892,0.000892
25,301.263,0.656,0.40638,1.06888,0.70308,0.83333,0.82817,0.43473,1.74,1.30627,2.75188,0.000496,0.000496,0.000496
