epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.4412,0.83718,0.47144,1.22639,0.92491,0.84956,0.91571,0.38276,2.14031,1.04149,2.54924,0.0704839,0.00327957,0.00327957
2,87.8252,0.85922,0.48778,1.23774,0.92387,0.85914,0.91274,0.38185,2.07868,0.86308,2.37815,0.0403529,0.00648197,0.00648197
3,108.042,0.95663,0.55959,1.3367,0.90469,0.83407,0.90891,0.38696,2.07795,1.08799,2.31835,0.01009,0.00955237,0.00955237
4,128.309,1.11639,0.65355,1.43808,0.92057,0.91814,0.94542,0.39354,2.05513,0.78886,2.12883,0.009406,0.009406,0.009406
5,146.148,1.11619,0.65964,1.48878,0.91165,0.84513,0.91081,0.38079,2.11762,0.95417,2.24711,0.009208,0.009208,0.009208
6,163.433,1.12574,0.66504,1.47468,0.91189,0.81858,0.88991,0.37177,2.08277,0.89151,2.19358,0.00901,0.00901,0.00901
7,181.207,1.1465,0.65676,1.45967,0.92291,0.84071,0.91436,0.36143,2.14239,0.95541,2.19679,0.008812,0.008812,0.008812
8,198.438,1.13337,0.65429,1.46837,0.93492,0.85813,0.89787,0.37769,2.07495,0.91704,2.30697,0.008614,0.008614,0.008614
9,215.77,1.07245,0.61619,1.40276,0.93571,0.86945,0.92559,0.38016,2.05475,0.90716,2.28404,0.008416,0.008416,0.008416
10,232.042,1.07433,0.63859,1.40954,0.88749,0.83767,0.90975,0.38943,2.03299,0.99372,2.09605,0.008218,0.008218,0.008218
11,248.541,1.02062,0.60919,1.40474,0.92167,0.84956,0.9169,0.37636,2.17136,1.07342,2.42235,0.00802,0.00802,0.00802
12,272.928,1.02683,0.57664,1.38949,0.92133,0.90929,0.94617,0.40936,2.07981,0.77949,2.17892,0.007822,0.007822,0.007822
13,288.336,1.00939,0.57817,1.35917,0.92978,0.90808,0.93285,0.38778,2.07841,0.84001,2.2873,0.007624,0.007624,0.007624
14,307.179,0.98187,0.55121,1.35094,0.91514,0.83506,0.90908,0.38818,2.06144,1.0975,2.27208,0.007426,0.007426,0.007426
15,322.596,1.00657,0.56481,1.35255,0.93316,0.83186,0.90802,0.37596,2.06899,1.02036,2.29913,0.007228,0.007228,0.007228
16,340.183,0.99709,0.568,1.31805,0.935,0.86504,0.91956,0.3924,2.10139,1.03215,2.29222,0.00703,0.00703,0.00703
17,355.605,0.9543,0.52258,1.28221,0.91339,0.87389,0.91399,0.38389,2.07745,0.87643,2.38645,0.006832,0.006832,0.006832
18,372.815,0.90995,0.51413,1.27486,0.95418,0.87537,0.94695,0.40651,2.06594,0.94447,2.41614,0.006634,0.006634,0.006634
19,388.063,0.88225,0.49888,1.24342,0.93497,0.89381,0.94532,0.40166,2.09895,0.92417,2.44598,0.006436,0.006436,0.006436
20,431.724,0.8268,0.46665,1.22204,0.94362,0.88873,0.93899,0.396,2.05725,0.89192,2.37071,0.006238,0.006238,0.006238
21,446.917,0.87127,0.49272,1.23785,0.93644,0.88274,0.91766,0.37534,2.16534,0.91857,2.44465,0.00604,0.00604,0.00604
22,462.353,0.81845,0.46936,1.19535,0.93949,0.85873,0.91039,0.37828,2.09718,1.08084,2.54598,0.005842,0.005842,0.005842
23,479.063,0.8218,0.45897,1.18782,0.92088,0.87549,0.90897,0.37305,2.12229,0.9725,2.52171,0.005644,0.005644,0.005644
24,494.481,0.81548,0.44552,1.18068,0.95517,0.8385,0.91236,0.39103,2.09023,0.99102,2.42222,0.005446,0.005446,0.005446
25,509.77,0.78634,0.43508,1.15173,0.94296,0.84513,0.91529,0.39214,2.09877,0.99693,2.5227,0.005248,0.005248,0.005248
26,529.412,0.75964,0.42474,1.13951,0.93565,0.87168,0.93633,0.40148,2.07212,0.96835,2.54354,0.00505,0.00505,0.00505
27,546.696,0.77196,0.43192,1.15751,0.93269,0.86283,0.92176,0.38583,2.14254,0.86381,2.54405,0.004852,0.004852,0.004852
28,562.833,0.7749,0.4585,1.1375,0.94224,0.90229,0.94373,0.39875,2.10891,0.87474,2.53769,0.004654,0.004654,0.004654
29,578.268,0.75837,0.43204,1.1308,0.93418,0.84779,0.90112,0.383,2.09246,1.12961,2.56189,0.004456,0.004456,0.004456
30,593.324,0.70292,0.39229,1.09823,0.95349,0.85398,0.92019,0.38492,2.13575,1.03639,2.66774,0.004258,0.004258,0.004258
31,608.676,0.72965,0.412,1.10923,0.96509,0.86283,0.93744,0.40721,2.10876,0.92094,2.62751,0.00406,0.00406,0.00406
32,624.033,0.70088,0.39313,1.0957,0.9584,0.8665,0.92349,0.39963,2.09934,1.02419,2.61895,0.003862,0.003862,0.003862
33,663.191,0.68783,0.38544,1.09019,0.95319,0.85596,0.92193,0.39121,2.11166,1.06042,2.67593,0.003664,0.003664,0.003664
34,679.48,0.67974,0.37768,1.06503,0.94147,0.85416,0.91019,0.38309,2.12787,1.01808,2.68713,0.003466,0.003466,0.003466
35,696.16,0.68092,0.37366,1.05618,0.95338,0.8385,0.90174,0.37683,2.12878,1.08555,2.67623,0.003268,0.003268,0.003268
36,713.371,0.64705,0.35605,1.0375,0.95047,0.84911,0.9145,0.40095,2.0886,1.0652,2.7038,0.00307,0.00307,0.00307
37,730.433,0.63662,0.3556,1.01874,0.94549,0.8442,0.90698,0.38415,2.11108,1.05731,2.72076,0.002872,0.002872,0.002872
38,745.745,0.65558,0.36173,1.03758,0.94686,0.86726,0.9328,0.40411,2.08882,0.98097,2.68497,0.002674,0.002674,0.002674
39,761.462,0.63455,0.35284,1.01715,0.94975,0.84735,0.91246,0.39155,2.10104,1.018,2.72293,0.002476,0.002476,0.002476
40,781.632,0.6043,0.34768,1.00852,0.9613,0.84292,0.91302,0.38838,2.1067,1.06105,2.71433,0.002278,0.002278,0.002278
41,800.299,0.59307,0.32802,0.99597,0.95297,0.85179,0.92124,0.399,2.07215,1.10827,2.74473,0.00208,0.00208,0.00208
42,815.437,0.55405,0.32265,0.97938,0.95544,0.85398,0.92003,0.40074,2.09327,1.07285,2.79362,0.001882,0.001882,0.001882
43,834.647,0.58237,0.3215,0.98941,0.96448,0.84096,0.91841,0.3895,2.10761,1.02324,2.80037,0.001684,0.001684,0.001684
44,851.926,0.57305,0.32073,0.97588,0.95941,0.8385,0.90019,0.38581,2.09985,1.14985,2.78107,0.001486,0.001486,0.001486
45,867.014,0.5273,0.30745,0.9791,0.96239,0.84922,0.91506,0.39679,2.08304,1.07641,2.77637,0.001288,0.001288,0.001288
46,882.279,0.54054,0.31128,0.96968,0.96221,0.84498,0.92097,0.39357,2.10287,1.03475,2.79954,0.00109,0.00109,0.00109
47,897.576,0.53194,0.2996,0.95823,0.95948,0.84292,0.92044,0.39704,2.0992,1.03476,2.82514,0.000892,0.000892,0.000892
