epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,525.894,0.34547,0.22258,0.84,0.94469,0.8385,0.93164,0.40495,2.10366,0.93688,2.83149,0.0009176,0.0009176,0.0009176
43,538.375,0.34012,0.21463,0.83777,0.903,0.84442,0.90707,0.39572,2.07059,0.9683,2.83989,0.0008912,0.0008912,0.0008912
44,550.832,0.32864,0.20866,0.83277,0.93983,0.82935,0.91026,0.39928,2.1152,1.01027,2.94952,0.0008648,0.0008648,0.0008648
45,563.324,0.32987,0.21356,0.83403,0.93162,0.84404,0.91238,0.4034,2.08619,0.96758,2.85886,0.0008384,0.0008384,0.0008384
46,575.753,0.32603,0.20991,0.83296,0.91919,0.8208,0.90262,0.38538,2.12952,1.04329,2.96592,0.000812,0.000812,0.000812
47,588.3,0.32689,0.20734,0.83319,0.92676,0.83983,0.92567,0.39897,2.11025,0.97595,2.96255,0.0007856,0.0007856,0.0007856
48,600.653,0.31589,0.20271,0.82839,0.91274,0.83311,0.90576,0.39459,2.08797,1.01746,2.86871,0.0007592,0.0007592,0.0007592
49,613.085,0.30712,0.19849,0.82499,0.93371,0.84143,0.91325,0.40478,2.10455,1.0219,2.94185,0.0007328,0.0007328,0.0007328
50,625.508,0.30362,0.1959,0.82651,0.9335,0.83847,0.91502,0.39546,2.11631,1.00937,2.9487,0.0007064,0.0007064,0.0007064
51,637.874,0.30404,0.19429,0.82667,0.91947,0.83186,0.91285,0.39513,2.09529,0.98767,2.97704,0.00068,0.00068,0.00068
52,650.394,0.30628,0.19758,0.82602,0.93139,0.83628,0.91101,0.39425,2.1067,1.00858,2.96502,0.0006536,0.0006536,0.0006536
53,662.812,0.29765,0.19111,0.82402,0.92559,0.84292,0.90492,0.39655,2.09129,1.04868,2.93705,0.0006272,0.0006272,0.0006272
54,675.171,0.29008,0.18674,0.82273,0.95522,0.84292,0.92151,0.40218,2.08727,1.00913,2.96952,0.0006008,0.0006008,0.0006008
55,687.59,0.30358,0.19159,0.828,0.93597,0.84081,0.91619,0.39774,2.09283,1.00137,2.94484,0.0005744,0.0005744,0.0005744
56,699.944,0.28479,0.18346,0.81842,0.93894,0.83407,0.90964,0.40221,2.0899,1.04881,2.9362,0.000548,0.000548,0.000548
57,712.434,0.2856,0.18403,0.81921,0.94322,0.84527,0.91396,0.39903,2.1101,1.0136,3.01771,0.0005216,0.0005216,0.0005216
58,724.742,0.28288,0.18392,0.81848,0.94031,0.8365,0.90624,0.39435,2.09364,1.03833,2.94367,0.0004952,0.0004952,0.0004952
59,737.239,0.27938,0.18255,0.8183,0.93636,0.84634,0.91002,0.39858,2.10137,1.03531,3.05223,0.0004688,0.0004688,0.0004688
60,749.687,0.27731,0.17967,0.81878,0.94552,0.84478,0.91489,0.40657,2.09752,1.03921,3.02491,0.0004424,0.0004424,0.0004424
61,762.103,0.2706,0.17721,0.81717,0.93321,0.84071,0.90205,0.39694,2.10872,1.04914,3.02982,0.000416,0.000416,0.000416
62,774.458,0.26806,0.17641,0.81198,0.93819,0.83949,0.9119,0.40786,2.09861,1.05955,3.05012,0.0003896,0.0003896,0.0003896
63,786.761,0.26728,0.17832,0.81338,0.93138,0.84086,0.9044,0.40162,2.09366,1.0401,3.03864,0.0003632,0.0003632,0.0003632
64,799.218,0.26571,0.17999,0.8129,0.93697,0.83628,0.90618,0.40505,2.10812,1.08636,3.06333,0.0003368,0.0003368,0.0003368
65,811.689,0.25696,0.17329,0.81021,0.93586,0.8385,0.91208,0.40447,2.09738,1.06071,3.06603,0.0003104,0.0003104,0.0003104
66,827.404,0.25621,0.17273,0.81267,0.92877,0.83407,0.90603,0.40247,2.10164,1.04719,3.0744,0.000284,0.000284,0.000284
67,839.811,0.25469,0.17338,0.80957,0.94066,0.84168,0.91703,0.40524,2.09882,1.06762,3.06208,0.0002576,0.0002576,0.0002576
68,852.283,0.25464,0.17365,0.80873,0.93578,0.8382,0.91184,0.40445,2.09844,1.05614,3.0917,0.0002312,0.0002312,0.0002312
69,864.662,0.25126,0.17053,0.80942,0.93854,0.84465,0.91242,0.40344,2.10244,1.06644,3.07767,0.0002048,0.0002048,0.0002048
70,876.925,0.24509,0.16876,0.80764,0.94567,0.8472,0.91827,0.40211,2.10485,1.06235,3.09546,0.0001784,0.0001784,0.0001784
71,889.287,0.24362,0.16738,0.80631,0.93838,0.84228,0.91229,0.4053,2.09857,1.0835,3.10797,0.000152,0.000152,0.000152
72,901.758,0.24197,0.16846,0.80739,0.94083,0.84513,0.91398,0.40457,2.10284,1.06989,3.1083,0.0001256,0.0001256,0.0001256
73,914.092,0.23886,0.16869,0.80627,0.93865,0.84617,0.91317,0.40354,2.10145,1.07028,3.11331,9.92e-05,9.92e-05,9.92e-05
74,926.626,0.23683,0.16526,0.80731,0.9382,0.83962,0.91156,0.40064,2.10617,1.07995,3.11769,7.28e-05,7.28e-05,7.28e-05
75,938.967,0.23082,0.16375,0.80508,0.93655,0.84071,0.91262,0.40382,2.10211,1.07426,3.12143,4.64e-05,4.64e-05,4.64e-05
