epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5451,1.84523,1.45827,2.61674,0.84642,0.85353,0.88394,0.34663,2.11982,0.96772,2.18577,0.00054,0.00054,0.00054
2,61.8451,1.61892,1.12298,2.01923,0.74946,0.73673,0.74194,0.24891,2.30347,1.2188,2.1969,0.00107822,0.00107822,0.00107822
3,72.3572,1.69221,1.09888,2.05497,0.70164,0.75442,0.74964,0.25974,2.27343,1.31084,2.25048,0.00159426,0.00159426,0.00159426
4,81.6012,1.82737,1.18979,2.16085,0.75241,0.70133,0.74906,0.26865,2.33086,1.24989,2.19784,0.0018812,0.0018812,0.0018812
5,91.4118,1.83519,1.25849,2.12582,0.72335,0.70354,0.73406,0.22621,2.39599,1.3287,2.24081,0.0018416,0.0018416,0.0018416
6,98.9888,1.80235,1.23024,2.25265,0.60049,0.54425,0.5789,0.18764,2.36227,1.56017,2.19978,0.001802,0.001802,0.001802
7,108.118,1.75388,1.1243,2.03117,0.80807,0.81036,0.86939,0.31128,2.15461,1.09299,1.99894,0.0017624,0.0017624,0.0017624
8,116.239,1.73904,1.17407,2.05789,0.79038,0.76991,0.83837,0.30101,2.16506,1.17437,2.11145,0.0017228,0.0017228,0.0017228
9,124.564,1.62199,1.08899,1.93941,0.8079,0.82965,0.87663,0.34101,2.06757,1.08194,2.03597,0.0016832,0.0016832,0.0016832
10,132.581,1.65718,1.06541,1.98581,0.81855,0.77846,0.84934,0.29962,2.19439,1.28088,2.07166,0.0016436,0.0016436,0.0016436
11,140.282,1.57749,1.04534,1.98805,0.89824,0.86283,0.90704,0.35499,2.07258,1.00357,1.95857,0.001604,0.001604,0.001604
12,149.535,1.56123,0.99017,1.9194,0.80467,0.83848,0.87681,0.31467,2.27424,1.06931,2.12333,0.0015644,0.0015644,0.0015644
13,158.698,1.52551,0.9358,1.87767,0.77988,0.73683,0.8044,0.30859,2.16319,1.22831,2.02094,0.0015248,0.0015248,0.0015248
14,167.694,1.50934,0.92384,1.8897,0.85946,0.84956,0.87493,0.25985,2.41724,1.03682,2.3834,0.0014852,0.0014852,0.0014852
15,175.2,1.50281,0.89428,1.81375,0.79536,0.70133,0.78257,0.24733,2.43143,1.18744,2.30606,0.0014456,0.0014456,0.0014456
16,184.741,1.49515,0.86566,1.82829,0.86331,0.84513,0.89684,0.34049,1.9941,1.10682,1.95592,0.001406,0.001406,0.001406
17,192.283,1.50777,0.86889,1.81714,0.87392,0.85877,0.91788,0.36238,2.05615,0.97132,1.95223,0.0013664,0.0013664,0.0013664
